Date,Top1,Points
"2013-07-19","onionly .me'",26
"2013-07-20","onionly .me'",26
"2013-07-21","onionly .me'",26
"2013-07-22","Hitomi",29
"2013-07-23","Hitomi",58
"2013-07-24","Hitomi",58
"2013-07-25","Hitomi",58
"2013-07-26","Hitomi",58
"2013-07-27","Hitomi",58
"2013-07-28","Hidden-Ezio",89
"2013-07-29","BooNi",93
"2013-07-30","BooNi",102
"2013-07-31","BooNi",145
"2013-08-01","BooNi",192
"2013-08-02","BooNi",203
"2013-08-03","BooNi",276
"2013-08-04","BooNi",284
"2013-08-05","BooNi",284
"2013-08-06","*WuDL*",299
"2013-08-07","BooNi",343
"2013-08-08","BooNi",351
"2013-08-09","BooNi",351
"2013-08-10","*WuDL*",372
"2013-08-11","*WuDL*",392
"2013-08-12","*WuDL*",441
"2013-08-13","*WuDL*",461
"2013-08-14","*WuDL*",461
"2013-08-15","*WuDL*",509
"2013-08-16","*WuDL*",544
"2013-08-17","*WuDL*",544
"2013-08-18","*WuDL*",564
"2013-08-19","*WuDL*",636
"2013-08-20","*WuDL*",637
"2013-08-21","*WuDL*",637
"2013-08-22","*WuDL*",637
"2013-08-23","*WuDL*",653
"2013-08-24","*WuDL*",653
"2013-08-25","*WuDL*",653
"2013-08-26","*WuDL*",653
"2013-08-27","*WuDL*",653
"2013-08-28","*WuDL*",653
"2013-08-29","*WuDL*",653
"2013-08-30","*WuDL*",653
"2013-08-31","*WuDL*",653
"2013-09-01","*WuDL*",653
"2013-09-02","*WuDL*",674
"2013-09-03","*WuDL*",674
"2013-09-04","BooNi",684
"2013-09-05","BooNi",684
"2013-09-06","BooNi",684
"2013-09-07","BooNi",684
"2013-09-08","BooNi",695
"2013-09-09","BooNi",695
"2013-09-10","BooNi",695
"2013-09-11","BooNi",695
"2013-09-12","BooNi",695
"2013-09-13","*WuDL*",709
"2013-09-14","*WuDL*",727
"2013-09-15","*WuDL*",745
"2013-09-16","*WuDL*",838
"2013-09-17","*WuDL*",910
"2013-09-18","*WuDL*",916
"2013-09-19","*WuDL*",952
"2013-09-20","*WuDL*",1000
"2013-09-21","*WuDL*",1006
"2013-09-22","*WuDL*",1006
"2013-09-23","*WuDL*",1006
"2013-09-24","*WuDL*",1006
"2013-09-25","*WuDL*",1006
"2013-09-26","*WuDL*",1006
"2013-09-27","*WuDL*",1006
"2013-09-28","*WuDL*",1006
"2013-09-29","*WuDL*",1006
"2013-09-30","*WuDL*",1006
"2013-10-01","*WuDL*",1006
"2013-10-02","*WuDL*",1006
"2013-10-03","*WuDL*",1006
"2013-10-04","*WuDL*",1006
"2013-10-05","*WuDL*",1006
"2013-10-06","*WuDL*",1006
"2013-10-07","*WuDL*",1006
"2013-10-08","Aoe",1063
"2013-10-09","Aoe",1108
"2013-10-10","Aoe",1170
"2013-10-11","Aoe",1212
"2013-10-12","Aoe",1249
"2013-10-13","Aoe",1253
"2013-10-14","Aoe",1253
"2013-10-15","Aoe",1253
"2013-10-16","Aoe",1258
"2013-10-17","Aoe",1258
"2013-10-18","Aoe",1314
"2013-10-19","Aoe",1318
"2013-10-20","Aoe",1360
"2013-10-21","Aoe",1371
"2013-10-22","Aoe",1383
"2013-10-23","Aoe",1418
"2013-10-24","Aoe",1426
"2013-10-25","Aoe",1426
"2013-10-26","Aoe",1439
